,Año,Ciudad,Valor
425,2006,Tarragona,131158
426,2006,Terrassa,199817
427,2006,Torrejón de Ardoz,112114
428,2006,Valencia,805304
429,2006,Valladolid,319943
430,2006,Vigo,293255
431,2006,Vitoria-Gasteiz,227568
432,2006,Zaragoza,649181
433,2001,Albacete,148934
434,2001,Albacete,149434
435,2001,Alcalá de Henares,176434
436,2001,Alcorcón,153100
437,2001,Algeciras,101468
438,2001,Alicante,284580
439,2001,Alicante,279535
440,2001,Almería,166328
441,2001,Almería,172055
442,2001,Badajoz,133519
443,2001,Badajoz,127736
444,2001,Badalona,205836
445,2001,Barcelona,1503884
446,2001,Barcelona,1392641
447,2001,Bilbao,349972
448,2001,Bilbao,346683
449,2001,Burgos,166187
450,2001,Burgos,161520
451,2001,Cádiz,133363
452,2001,Cádiz,132872
453,2001,Cartagena,184686
454,2001,Castellón de la Plana,147667
455,2001,Castellón de la Plana,139009
456,2001,Córdoba,308072
457,2001,Córdoba,303874
458,2001,Donostia - San Sebastián,178377
459,2001,Donostia - San Sebastián,177831
460,2001,Dos Hermanas,101988
461,2001,Elche,194767
462,2001,Fuenlabrada,182705
463,2001,Getafe,151479
464,2001,Gijón,266419
465,2001,Granada,240661
466,2001,Granada,231577
467,2001,Hospitalet de Llobregat,239019
468,2001,Huelva,142284
469,2001,Huelva,138605
470,2001,Jaén,112590
471,2001,Jaén,106449
472,2001,Jérez de la Frontera,183273
473,2001,La Coruña,236379
474,2001,La Coruña,235847
475,2001,Las Palmas de Gran Canaria,354863
476,2001,Las Palmas de Gran Canaria,357601
477,2001,Leganés,173584
478,2001,León,130916
479,2001,León,140638
480,2001,Lleida,112199
481,2001,Lleida,110770
482,2001,Logroño,133058
483,2001,Logroño,130024
484,2001,MADRID,2938723
485,2001,MADRID,2912705
486,2001,Málaga,524414
487,2001,Málaga,545966
488,2001,Marbella,100036
489,2001,Mataró,106358
490,2001,Móstoles,196524
491,2001,Murcia,370745
492,2001,Murcia,353943
493,2001,Ourense,107510
494,2001,Ourense,102896
495,2001,Oviedo,201154
496,2001,Oviedo,198989
497,2001,Palma de Mallorca,333801
498,2001,Palma de Mallorca,313766
499,2001,Pamplona,183964
500,2001,Pamplona,164054
501,2001,Reus,183788
502,2001,Sabadell,183788
503,2001,Salamanca,156368
504,2001,Salamanca,153943
505,2001,San Cristóbal de La Laguna,128822
506,2001,Santa Coloma de Gramanet,112992
507,2001,Santa Cruz de Tenerife,188477
508,2001,Santa Cruz de Tenerife,200015
509,2001,Santander,180717
510,2001,Santander,177180
511,2001,Sevilla,684633
512,2001,Sevilla,686853
513,2001,Tarragona,113129
514,2001,Tarragona,115756
515,2001,Terrassa,173775
516,2001,Valencia,738441
517,2001,Valencia,745216
518,2001,Valladolid,316580
519,2001,Valladolid,309116
520,2001,Vigo,280186
521,2001,Vitoria-Gasteiz,216852
522,2001,Vitoria-Gasteiz,218746
523,2001,Zaragoza,614905
524,2001,Zaragoza,593204
