Comunidades y Ciudades AutÛnomas;TamaÒo de los municipios;Periodo;Total
12 Galicia;Total;2007;2.772.533
12 Galicia;Total;2006;2.767.524
12 Galicia;Total;2005;2.762.198
12 Galicia;Total;2004;2.750.985
12 Galicia;Total;2003;2.751.094
12 Galicia;Total;2002;2.737.370
12 Galicia;Total;2001;2.732.926
12 Galicia;Total;2000;2.731.900
12 Galicia;Total;1999;2.730.337
12 Galicia;Total;1998;2.724.544
13 Madrid;Total;2021;6.751.251
13 Madrid;Total;2020;6.779.888
13 Madrid;Total;2019;6.663.394
13 Madrid;Total;2018;6.578.079
13 Madrid;Total;2017;6.507.184
13 Madrid;Total;2016;6.466.996
13 Madrid;Total;2015;6.436.996
13 Madrid;Total;2014;6.454.440
13 Madrid;Total;2013;6.495.551
13 Madrid;Total;2012;6.498.560
13 Madrid;Total;2011;6.489.680
13 Madrid;Total;2010;6.458.684
13 Madrid;Total;2009;6.386.932
13 Madrid;Total;2008;6.271.638
13 Madrid;Total;2007;6.081.689
13 Madrid;Total;2006;6.008.183
13 Madrid;Total;2005;5.964.143
13 Madrid;Total;2004;5.804.829
13 Madrid;Total;2003;5.718.942
13 Madrid;Total;2002;5.527.152
13 Madrid;Total;2001;5.372.433
13 Madrid;Total;2000;5.205.408
13 Madrid;Total;1999;5.145.325
13 Madrid;Total;1998;5.091.336
14 Murcia;Total;2021;1.518.486
14 Murcia;Total;2020;1.511.251
14 Murcia;Total;2019;1.493.898
14 Murcia;Total;2018;1.478.509
14 Murcia;Total;2017;1.470.273
14 Murcia;Total;2016;1.464.847
14 Murcia;Total;2015;1.467.288
14 Murcia;Total;2014;1.466.818
14 Murcia;Total;2013;1.472.049
14 Murcia;Total;2012;1.474.449
14 Murcia;Total;2011;1.470.069
14 Murcia;Total;2010;1.461.979
14 Murcia;Total;2009;1.446.520
14 Murcia;Total;2008;1.426.109
14 Murcia;Total;2007;1.392.117
14 Murcia;Total;2006;1.370.306
14 Murcia;Total;2005;1.335.792
14 Murcia;Total;2004;1.294.694
14 Murcia;Total;2003;1.269.230
14 Murcia;Total;2002;1.226.993
14 Murcia;Total;2001;1.190.378
14 Murcia;Total;2000;1.149.328
14 Murcia;Total;1999;1.131.128
14 Murcia;Total;1998;1.115.068
15 Navarra;Total;2021;661.537
15 Navarra;Total;2020;661.197
15 Navarra;Total;2019;654.214
15 Navarra;Total;2018;647.554
15 Navarra;Total;2017;643.234
15 Navarra;Total;2016;640.647
15 Navarra;Total;2015;640.476
15 Navarra;Total;2014;640.790
15 Navarra;Total;2013;644.477
15 Navarra;Total;2012;644.566
15 Navarra;Total;2011;642.051
15 Navarra;Total;2010;636.924
15 Navarra;Total;2009;630.578
15 Navarra;Total;2008;620.377
15 Navarra;Total;2007;605.876
15 Navarra;Total;2006;601.874
15 Navarra;Total;2005;593.472
15 Navarra;Total;2004;584.734
15 Navarra;Total;2003;578.210
15 Navarra;Total;2002;569.628
15 Navarra;Total;2001;556.263
15 Navarra;Total;2000;543.757
15 Navarra;Total;1999;538.009
15 Navarra;Total;1998;530.819
16 PaÌs Vasco;Total;2021;2.213.993
16 PaÌs Vasco;Total;2020;2.220.504
16 PaÌs Vasco;Total;2019;2.207.776
16 PaÌs Vasco;Total;2018;2.199.088
16 PaÌs Vasco;Total;2017;2.194.158
16 PaÌs Vasco;Total;2016;2.189.534
16 PaÌs Vasco;Total;2015;2.189.257
16 PaÌs Vasco;Total;2014;2.188.985
16 PaÌs Vasco;Total;2013;2.191.682
16 PaÌs Vasco;Total;2012;2.193.093
16 PaÌs Vasco;Total;2011;2.184.606
16 PaÌs Vasco;Total;2010;2.178.339
16 PaÌs Vasco;Total;2009;2.172.175
16 PaÌs Vasco;Total;2008;2.157.112
16 PaÌs Vasco;Total;2007;2.141.860
16 PaÌs Vasco;Total;2006;2.133.684
16 PaÌs Vasco;Total;2005;2.124.846
16 PaÌs Vasco;Total;2004;2.115.279
16 PaÌs Vasco;Total;2003;2.112.204
16 PaÌs Vasco;Total;2002;2.108.281
16 PaÌs Vasco;Total;2001;2.101.478
16 PaÌs Vasco;Total;2000;2.098.596
16 PaÌs Vasco;Total;1999;2.100.441
16 PaÌs Vasco;Total;1998;2.098.628
17 La Rioja;Total;2021;319.796
17 La Rioja;Total;2020;319.914
17 La Rioja;Total;2019;316.798
17 La Rioja;Total;2018;315.675
17 La Rioja;Total;2017;315.381
17 La Rioja;Total;2016;315.794
17 La Rioja;Total;2015;317.053
17 La Rioja;Total;2014;319.002
17 La Rioja;Total;2013;322.027
17 La Rioja;Total;2012;323.609
17 La Rioja;Total;2011;322.955
17 La Rioja;Total;2010;322.415
17 La Rioja;Total;2009;321.702
17 La Rioja;Total;2008;317.501
17 La Rioja;Total;2007;308.968
17 La Rioja;Total;2006;306.377
